,textID,selected_text,text,sentiment
0,f87dea47db,last day of the  neutral ,last session of the day ,difficulttweet
1,96d74cb729,really good  positive , shanghai is also really exciting precisely skyscrapers galore good tweeps in china sh bj ,difficulttweet
2,eee518ae67,shame negative ,recession hit veronique branquinho she has to quit her company such a shame ,difficulttweet
3,01082688c6,happy positive  , happy bday ,difficulttweet
4,33987a8ee5,i like it  neutral , i like it ,difficulttweet
5,726e501993,that s great  , that s great weee visitors ,difficulttweet
6,261932614e,i hates negative ,i think everyone hates me on here lol,difficulttweet
7,afa11da83f, negative , soooooo wish i could but im in school and myspace is completely blocked,difficulttweet
8,e64208b4ef, of all time , and within a short time of the last clue all of them,difficulttweet
9,37bcad24ca, my , what did you get my day is alright haven t done anything yet leaving soon to my stepsister though ,difficulttweet
10,24c92644a4,that negative ,my bike was put on hold should have known that argh total bummer,difficulttweet
11,43b390b336, we , i checked we didn t win,difficulttweet
12,69d6b5d93e, you re on that , and you re on twitter did the tavern bore you that much ,difficulttweet
13,5c1e0b61a1,sad negative ,i m in va for the weekend my youngest son turns 2 tomorrow it makes me kinda sad he is getting so big check out my twipics,difficulttweet
14,504e45d9d9,he s out the idea i thought it is a good  positive ,its coming out the socket i feel like my phones hole is not a virgin that s how loose it is ,difficulttweet
15,ae93ad52a0,hate for looks like it negative ,so hot today don t like it and i hate my new timetable having such a bad week,difficulttweet
16,9fce30159a,miss you negative , miss you,difficulttweet
17,00d5195223, neutral ,cramps ,difficulttweet
18,33f19050cf, you didn t call nice or neutral , you guys didn t say hi or answer my questions yesterday but nice songs ,difficulttweet
19,f7718b3c23,i m going a  great positive ,i m going into a spiritual stagnentation its exploding my ego i now realise i m not all that great and i m ok with that ,difficulttweet
20,9ef44428d0,stupid  ,stupid storm no river for us tonight,difficulttweet
21,be634ebeb0,awwww  ,my dead grandpa pays more attention to me than you do,difficulttweet
22,3dcf4f7e13,bad got , need retail therapy bad ahhh gimme money geebus,difficulttweet
23,f0ef04109b,about to go sleep neutral ,about to go to sleep,difficulttweet
24,8be365118e, you are make me go neutral , you are lame go make me breakfast ,difficulttweet
25,c50bdd4567,cool positive , thats so cool,difficulttweet
26,334954f215,im watching just miss you on coffee special and  positive ,hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime ,difficulttweet
27,b783916431,sunday left neutral ,huh another scarepoint coding sunday,difficulttweet
28,1fa8e6ad66, negative , look who i found just for you ,difficulttweet
29,be38b29042,no way negative ,no ac the fan doesnt swing our way we are sweating it out on a hot humid day,difficulttweet
30,95701e8ed9, positive , guess that depends on if you want to be on the jury,difficulttweet
31,4dd58ecd2c,eating games  neutral ,resorted to eating mickey ds alone ,difficulttweet
32,cf553cccd5,am upset and a negative ,there is a faux gothy chick looking at me sorry i am not going to camden and i like pop punk and jimmy eat world,difficulttweet
33,55c69c2d52,your twitter for  neutral , did he ask for your twitter id your sun sign ,difficulttweet
34,9b1a52cc02, where go neutral , where d you go ,difficulttweet
35,cce5c4744a,watching good of positive ,watching body of lies good film,difficulttweet
36,c7f9d559e2,happy positive ,happy mothers day mumm xoxo,difficulttweet
37,3d2478db59,wow ve ,so i really need to put the laptop down start getting ready for shindig but i ve missed my twitterloves all day,difficulttweet
38,6d846d7d50,sorry i m to go other s  neutral , i m sorry at least it s friday ,difficulttweet
39,599f51af6b,pretty positive ,feels sorry every time i m printing out i use like 200 new papers,difficulttweet
40,87daa62920, negative , 4n ma rog never heard of it esti beat acum u tweet too much,difficulttweet
41,6506dc55ff,i forget  negative , i always forget something when i travel i am at newark airport ,difficulttweet
42,746d87f93e,still going to and home i have been a of work neutral ,should have left car and walked home i might need someone to rescue me with petrol light flashing,difficulttweet
43,ef7ef8e474,at this cold and for me really why i like that  neutral ,i m only updating this so that brett s phone beeps but really looking at wedding stuff again for the next five months ,difficulttweet
44,d3d7b13278,i m for there when be happy about not are in to on neutral , hi there i agree small children should be running about happy not breaking down in tears,difficulttweet
45,ddc07db84e,hope positive , hope ur havin fun in da club,difficulttweet
