,textID,selected_text
0,f87dea47db,last day of the  
1,96d74cb729, really is 
2,eee518ae67,shame 
3,01082688c6,happy 
4,33987a8ee5,i like 
5,726e501993,that s great  
6,261932614e,i think everyone 
7,afa11da83f, 
8,e64208b4ef, 
9,37bcad24ca, did you get my song is soon to 
10,24c92644a4,my was on 
11,43b390b336,i didn t we 
12,69d6b5d93e,you re out on the and  
13,5c1e0b61a1,i m sad 
14,504e45d9d9, 
15,ae93ad52a0,bored 
16,9fce30159a,miss 
17,00d5195223, 
18,33f19050cf, you guys say nice pic but my hair a new picture 
19,f7718b3c23,i m really a great 
20,9ef44428d0,stupid 
21,be634ebeb0,me more than 
22,3dcf4f7e13,bad 
23,f0ef04109b,about to go sleep 
24,8be365118e,you are go me 
25,c50bdd4567,cool 
26,334954f215,hate 
27,b783916431,another night 
28,1fa8e6ad66, lol who just found you for 
29,be38b29042, the way to on we are it a 
30,95701e8ed9, that be on to 
31,4dd58ecd2c,is to  
32,cf553cccd5,sorry 
33,55c69c2d52, did your twitter job 
34,9b1a52cc02, where you go 
35,cce5c4744a,watching of good 
36,c7f9d559e2,happy 
37,3d2478db59,missed 
38,6d846d7d50,i m sorry at least it s friday  
39,599f51af6b,sorry 
40,87daa62920, much 
41,6506dc55ff,i always 
42,746d87f93e,i have someone to and car with my 
43,ef7ef8e474,i m so the only for just about  
44,d3d7b13278,happy 
45,ddc07db84e,fun 
46,67afe60d31,i my 
47,17d18ba9ef,wonderful 
48,ab57d75f20,really sorry 
49,f0acd25d8e,happy 
50,cf3b068b03,is watching the in i that a 
51,d6c34fa875, i ll get to the from 
52,614aed9113,tired 
53,dfa577d3c1,thanks 
54,10dcbe4dfb,you come and me with 
55,a0bfb12773,you re nice your 
56,71f4a9b495, 
57,d33ed264b3,didn t work 
58,77f88ea9e2,goodnight 
59,fe1deac869, nice 
60,e591a725ef, dont do know what though we 
61,2dbb28cc29, its so are you it 
62,a7e4ad250a,i am  leaving for one of no 
63,7d87899024,oh 
64,461b51fa58,at work with my i love too  
65,c31d79c440,i just need a life watching now few 
66,32ee7ef6c2,yes 
67,29f805a7d2,by myself  
68,d41fe360e4, the 
69,a04c8c8695,why do i have to with my  
70,25e42b2bf2,i love 
71,5843d17b1d,ur 
72,474d10ff48, is 
73,38e69da3a1, it s hot some i have you to a x 
74,972dc5787d, very looking sweet 
75,0ba6aaf9aa,wrong 
76,7a81537034,can t sleep  
77,311d2b185b,and 
78,1e46d72ec6, were i wish you all 
79,390f169584, 
80,58129e4130,thanks for you  
81,e6c9e5e3ab, 
82,cb5e709de8,mom 
83,a14b4ff440,happy 
84,5d57a5eda2,thank 
85,1e3561e921, lol 
86,c2ea5cb58b,feeling well today not 
87,cde0016d6d,my 
88,5fc411e8d1, know i 
89,5ffb19ae8f,says 
90,76da985a47,the sun is out in my 
91,3a98aa4762,happy mothers day  
92,886545bbab,yes i am 
93,2afe118dc3, i can t call from 
94,704c53f4cf,happy 
95,71fa60d9ff,so excited 
96,c238c4dbb7,i just so hard  
97,dc73e85417,when to go the you before 
98,af63915fa9,i am up  
99,eb2fc4d281, well 
100,f9382a1f7b,its a bit time to be with and it i the 
101,54670ca807,playing with my work now 
102,3ab338c459,great 
103,c7c7f7f025,is 
104,1256e6a4d2,lol 
105,990cdeae87, i want to see 
106,9a55d83c79, me 2 
107,c8307a482d, but there the way to was new lol 
108,0a21b662a4, i want to just 
109,297f7d9e0f, 
110,68901906a4,woke up with 
111,3112944847,on the phone with 
112,8f8334ffa2,dead 
113,322546026e,yay  
114,e6c154f9be, sadly 
115,e96d849b35,awesome 
116,124e30d941, well 
117,fbb5742bbb, they t it just in 
118,e90acf3c42, 
119,0b0944285d,bye 
120,a11da2d3bf,where of my with me  
121,161bfc7c8a,too 
122,4a65010643, hahaha twitter my pic 
123,1b460c82f0,sad 
124,43e91a5488,you very 
125,410dd99aa3,so 
126,b3eadfc565, was amazing 
127,480894125b,you re the best 
128,001617fca4,oh god my so i was much more  
129,52f2f23473,my  is show 
130,e7e27b0c91,welcome  
131,834dc73c0c,going to 
132,aeb0e9d730,i have to go 
133,c672c9da1d,for 
134,cbee1946d3,tired 
135,b1999f0951,now i have a 
136,25510fbf89,i have a nice day 
137,bcb9426abb,wish i 
138,0d29624200,i feel pain 
139,3f0f5891ab,love 
140,0b34e66ea3,ok this is 
141,11de8c0456,im on my i 
142,d5712716e9,thank you for your  
143,3f90f95beb,funny 
144,c108e09b19,really is 
145,7223fdccc2,but are so mad i want to go 
146,f254748cdb,happy 
147,256453d14f, it s really hot 
148,8fd01857a9,is 
149,37227c0dbf,oh i m 
150,20aff2fcb1,missed 
151,ca223af36e,d s like 
152,90977e9614,love 
153,433b1ab9ea,got an 
154,37771d1bc1, finally in some 
155,fa99046452,im up 
156,14760477ad,is sooo tired but pretty now  
157,da908a6635,i have to is the 
158,2053a455e9,i cant believe 
159,1ea547383b,happy 
160,6634c62acf,hahaha  
161,c7240790da, you all to the one lol for 
162,08ede23635,thanks 
163,4e87dcff0e, where are you the of 
164,4b0b53bc98,ugh 
165,fd3a622954,just to 
166,e34af4fd97,i love 
167,0e8aa10a4e,cute 
168,29148dc95c, 
169,56a15cf6ca,hate 
170,b99969c2fb,is online 
171,b0f3142cb4,come in 3 days here but i home  
172,5ff525b74b,if i am are  
173,4fd80e66e0,mean 
174,e77a8f8f2d,the 
175,4ea7102112,haha 
176,6a14956779,if don t leave  
177,7c2fcb712e, lol u to 
178,cdd172d6a7,a friend to 
179,d2a21b3cb7, haha 
180,799e17e7a7,nice 
181,0a49cdbdf6,i will miss the 
182,4a13c1093d, the 
183,9407ce6ccc, hours will it 4 well my 
184,820f19ca44, all your girl always the to get again 
185,683bb73c09, it 
186,0d14593b11,looking forward to be with today 
187,9ac13b3739,that just 
188,16ee71e6df,sadly 
189,f5d47f04f5,too much not 
190,e131c496a2,hope 
191,bc6d7b4364,wow 
192,c87be630b5, ah mother is well the i not 
193,e4ad1684bb,glad 
194,f7835156a5, woot 
195,03bb148b87,that was 
196,b47c430fda, 
197,0234e16010,yay 
198,be9ed19513,happy 
199,bf7240df91,back to the 
200,2f883c6eb1,is  
201,a1320a5050, at 6 30 
202,d72a60bee8,i are you to 
203,bc9ebe0002,i hate my life 
204,64ddc1f8a2,wish 
205,03f6b8d900,you guys 
206,2d475b1b23,just been 2 about 
207,87473f5175,crying 
208,7a09871d21, been a while for this one 
209,96ec2855e4, were here tonight you 
210,45cf9ba329,from some more on my but s new 
211,bab68144cd,you were 
212,fc49e426f5,best 
213,a172818c9e,awesome 
214,036191bb61,i love 
215,3ef85c201c, that is a new 
216,ea348ea738, is 
217,fd10f463c9, the 
218,e6e02e1be6,how know the to you are be  
219,8112c62d00, a fan thing i m not the people think he s like to in what 
220,0f89951346,no 
221,f3ec0395b0, it s very great 
222,37ffa83550,thank you 
223,cb8c730261,good 
224,be33b5cb9a,we will miss the 
225,4fed31099f,good 
226,de288eb45b, what happened the hell 
227,7ab82d9fda,thank you 
228,9d8a45d308,soooo 
229,d25c4179f6,sorry 
230,6cd35dd82e, 
231,65275b51e2,going to bed some time u by any then  
232,9fae9e3145,i ll get 
233,e515132ae4,thanks 
234,df3c7485ae,i miss the last 
235,bd8ba2ad7e,i love just 
236,58be40735c,my 
237,b5a0a16fd7, 
238,044f146e5c,amazing 
239,a8e17db0cc,poor 
240,abda0ac082,is for the mother s day 
241,b01506af48,sorry 
242,53969f2468,that s hate  
243,4df63939ef, i did the only thing then on 
244,f43efa3560,got her 
245,c89e41fc7c, me too follow 
246,b9ec075666,in traffic now with who to on the  
247,ca333e378d,i m really bored 
248,5a91b175f6,goodnight 
249,ac00adda49, 
250,cf9dc7479a, but i do you 
251,005e2e60d3,now i need to go my 
252,0b1fad03e9, 
253,2c72a5582a,what about for me i you  
254,af0778ed50,should be having  
255,1e0416ec46,just found to now again from a car lol 
256,1e6f72ea44,i feel sick 
257,cc930f7aa8, yea 
258,9c202174a3,off to today of 
259,b9a1df7a8a,one to go off work day bed now 
260,7b3132d3cc,trying to figure out this year 
261,5f80970983,yay  
262,f008d91039,love 
263,c223721eed,i m good  
264,7f8a3308f8, this has been on my a we and 
265,3f7adda0a4,my head is 
266,6c60cf0bb2,sorry 
267,f77651be05,would 
268,aff740a028,my 
269,c3f1116734,suck 
270,4b57011c85,for 
271,cb4266c560,i really you so the 
272,dcb3bb2912, and yes i don t know what m fine but be over there it been ll 
273,f61b40624e, feel i like now 
274,b6d2229b03,i love 
275,299fda8c5b,hey 
276,fbea09d42d,the 
277,1b62e0c672,i feel like 
278,2452a0aa6a, i know we are as but 
279,8a821c6d63, lol what thing i the to something that 
280,0f93ebfb23, lol get again 
281,dd655c5aee,great 
282,e94ceb6edd, 
283,61e8b484df,not my 
284,5be41389ce, 
285,bd0f0ebc57,no now time i m a get s 
286,772ba56ce6,morning have a great day i to go off 
287,390f00c85a,now 
288,4a680661d5, 3 congrats is 
289,e2505e6219, thanks for on monday to 
290,0d85e6d515,feels like 
291,086671fad9,too 
292,9c99cd9396,oh 
293,f35cc8bb35, it 
294,5ba64af2fd,i m my friend like is t and  
295,dbd82ea5bd,its 
296,8b6c53f38b,i love the 
297,e8cb7f18bd,happy to the do i  
298,9ea273deaa,lost my  
299,cf0d831059,the 
300,8f0bafc9dc, your is the of 
301,0888d7dab7,no 
302,04d3c2d056,hey guys about watch it was really  
303,8bbaca6e4b,i 
304,4a9529e753, 
305,8be2d4f69f,excited 
306,d9c10546e6,well i don t feel again 
307,90be8eaffb,i want a much more 
308,8ba332dbbd, ll 
309,1086c26e82,that s cool  
310,b357b9e7d2,amazing  
311,0050eebd18,very  
312,426cb788e5,another at s  
313,d30d23e543, it was just the 
314,04a204382a,says  
315,2bc1a7126b,well 
316,a2fb29c072,first of coffee 
317,a2bbae6c4c, 
318,0ce30035ac,i just wanna work time the was as really  
319,b3505b0aa7,wanna go too 
320,99fcc18a8d,good 
321,2b6bc6920b,i m 
322,d40dd3b17b,aww 
323,5aa8a5280f,i m 
324,7dd57c2598, so jealous i can t do 
325,0142108215,thank you so much 
326,f4aba8da1c, the pic should be 
327,9cf9045a3c,so bad  
328,1962095a32,that s what 
329,9acf7846ab,ok i m excited 
330,e4d58eb70f,is 
331,791b4a40af, we have 
332,0c415791d1,tonight 
333,3bd0bff670,thanks 
334,c7f27553b8,good luck 
335,a717783c80,getting ready to work a bit 
336,5a2add1cd8,i can t keep up 
337,5999397144,is just going i m to bed on the 
338,54a3eab849,making 
339,77b6b38e7e,looks 
340,dd6ea8c37a,hurts 
341,af08dd0be5,got 2 sleep  
342,3cd447856a,facebook 
343,d7765a3fd6,lol 
344,509033a1ff,i really need to watch the so that 
